food_id,f_name,b_hours,county,address,rate,geo_loc,pic_url,gmaps_url,f_type,comm,area,create_time,update_time
f27e1aba-7fd2-4405-a671-e94bbecbe7cc,老賊壽司,"
星期一 休息
星期二 休息
星期三 06:00–20:00
星期四 06:00–20:00
星期五 06:00–20:00
星期六 06:00–20:00
星期日 06:00–20:00",桃園市,桃園市桃園區中正路328號,4.3,POINT(24.99792 121.30924),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nraGDur_EFhHXZz5Goq15dlGWyDLz5uV4-WBU9kqnweRobALXigXOxd-3NRc_D-R_HtDbc90OTNBguqWCX_uZmBTUQ_d2AyrF5_LMalfHDo2FrCN1eBYSRcDzeXlQj56CFKWu9fuA=w426-h240-k-no,https://www.google.com/maps/place/?q=place_id:ChIJXwb1Kf4eaDQRG05sWy1vobo,餐廳,6015.0,桃園區,2025-05-12 23:02:36,2025-05-12 23:02:36
546d7d22-1f8c-4c5b-af83-9e31dea5894c,灶腳小館,"
星期一 11:00–14:00 17:00–21:00
星期二 11:00–14:00 17:00–21:00
星期三 11:00–14:00 17:00–21:00
星期四 11:00–14:00 17:00–21:00
星期五 11:00–14:00 17:00–21:00
星期六 11:00–14:00 17:00–21:00
星期日 11:00–14:00 17:00–21:00",桃園市,桃園市桃園區大興路218號,4.3,POINT(25.01607 121.31300),https://lh3.googleusercontent.com/p/AF1QipPrNCkqBRPvcyIxabMg_By2qhto0bNTaeP4eqrs=w426-h240-k-no,https://www.google.com/maps/place/?q=place_id:ChIJo4GzY0weaDQRXuZCaV5BVMc,餐廳,1935.0,桃園區,2025-05-12 23:02:36,2025-05-12 23:02:36
2874807d-5282-4476-84c8-e84a9b7bbe90,元發飲食店,"
星期一 10:00–17:00
星期二 10:00–17:00
星期三 10:00–17:00
星期四 10:00–17:00
星期五 10:00–17:00
星期六 10:00–17:00
星期日 10:00–17:00",桃園市,桃園市復興區中山路13之1號,4.3,POINT(24.81458 121.35026),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrfmLPMmbtn_XvJMPOgru2QG_iRcE7Vx_69wkL-7MR2goyUrTlHeuBIi1ASA2T949yKtfSHd0CXR0biXtB1DxPrRfvk1-UIZ2TlrK2dQkK-i3BL-lW0HimmnZ6EnP0x1k5aK5-5bw=w408-h544-k-no,https://www.google.com/maps/place/?q=place_id:ChIJu-QjudMWaDQRH7yFvP3NkEY,餐廳,43.0,復興區,2025-05-12 23:02:36,2025-05-12 23:02:36
020b5d12-1e73-4581-9b9c-c24bb95bfd7c,八方園百年三合院景觀客家餐廳,"
星期一 休息
星期二 11:00–14:00 16:30–19:30
星期三 11:00–14:00 16:30–19:30
星期四 11:00–14:00 16:30–19:30
星期五 11:00–14:00 16:30–19:30
星期六 11:00–14:30 16:30–19:30
星期日 11:00–14:30 16:30–19:30",桃園市,桃園市楊梅區校前路580號,4.8,POINT(24.89442 121.14673),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq852QvuAVNC4wA8QwMraxtno-vH8GX8-dtGj3Uwn9fh_hznWZ0_-QyI_ISBEuqVcN2BnOnV1TWzzKx_kvqu0QdA-ZflHuBhc0Ns1glomgmgy5x18NfWP1UpIfs66-DWmKBBLSv=w444-h240-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ27u5SkA7aDQRNZ-Rs8hmPuY,餐廳,10279.0,楊梅區,2025-05-12 23:02:36,2025-05-12 23:02:36
72497e67-9735-4ada-b60e-a86675548f6a,首烏客家海鮮餐廳,"
星期一 11:00–14:00 17:00–21:00
星期二 休息
星期三 11:00–14:00 17:00–21:00
星期四 11:00–14:00 17:00–21:00
星期五 11:00–14:00 17:00–21:00
星期六 11:00–14:00 17:00–21:00
星期日 11:00–14:00 17:00–21:00",桃園市,桃園市楊梅區新成路61號,4.2,POINT(24.91158 121.14693),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqFRBit2DtxDcL0RspGuAWDOsU5qQ4DGYgxeZz6xwC83aO1H1zRjRLcXEQgrOD032HyRyHYiQvRAsOY3WuuCUdYu09sxRmlZ8zb_yizlQfMoC9grC8e9mf3HKHDMlkWBU2wJWl=w408-h408-k-no,https://www.google.com/maps/place/?q=place_id:ChIJK8FVtsokaDQRnKDHlI1qaAs,餐廳,1772.0,楊梅區,2025-05-12 23:02:36,2025-05-12 23:02:36
20b6e3b6-a909-4d00-931e-547d2ab39ea7,稻鄉村客家莊,"
星期一 11:30–14:00 17:30–21:30
星期二 11:30–14:00 17:30–21:30
星期三 11:30–14:00 17:30–21:30
星期四 11:30–14:00 17:30–21:30
星期五 11:30–14:00 17:30–21:30
星期六 11:30–14:00 17:30–21:30
星期日 11:30–14:00 17:30–21:30",桃園市,桃園市龜山區忠義路二段118巷69號,4.0,POINT(25.04243 121.35701),https://lh3.googleusercontent.com/gps-cs-s/AC9h4npA9Bjr16pR30uhBGWnD4lhO7pTm7R3o1d8Mc39HWya_UlYEzd-3-he_jKMk42JivvyIW82QBpyk89TsgVl0EygsdMA774b4BnL9BFWMZhjM8QupkIcQ6wf3bxWA-01FtOw7Gbojw=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJbX8Wu6ygQjQRF9QJGX_TQbc,餐廳,1256.0,龜山區,2025-05-12 23:02:36,2025-05-12 23:02:36
f9e15a5e-3492-4681-b22b-cd62db46f9a1,張家土雞城,"
星期一 11:00–14:00 17:00–21:00
星期二 11:00–14:00 17:00–21:00
星期三 11:00–14:00 17:00–21:00
星期四 11:00–14:00 17:00–21:00
星期五 11:00–14:00 17:00–21:00
星期六 11:00–14:00 17:00–21:00
星期日 11:00–14:00 17:00–21:00",桃園市,桃園市蘆竹區蘆興街451號,4.0,POINT(25.04056 121.27648),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqPz2FgjARmvJi-wB00_U7L8vLV1Rg8uHaKM7xQ2AiLeDPIc-0Zu2950_gqU-hogHSrRkmx7GJhA5y5nLyxe2sr5p7QYvSDOBoLRJh2o5vsqHbJsa2LIsW8AeGOueKFfnkqsKih=w408-h510-k-no,https://www.google.com/maps/place/?q=place_id:ChIJiQqMgO8faDQR05Ye6ku0vsE,餐廳,2697.0,蘆竹區,2025-05-12 23:02:36,2025-05-12 23:02:36
2a4dc711-8b68-4e87-b710-4afcdc1b9769,三角店客家菜包,"
星期一 24 小時營業
星期二 24 小時營業
星期三 24 小時營業
星期四 24 小時營業
星期五 24 小時營業
星期六 24 小時營業
星期日 24 小時營業",桃園市,桃園市中壢區中正路272號,3.8,POINT(24.95513 121.21907),https://lh3.googleusercontent.com/gps-cs-s/AC9h4npuRnjfTf8bthm-IoLCvX-7WgJ6E09YlF83S4ZWJoAS-vO5KYzFp2oM-R5iIMj4gSKv_JkilLpVeL-gzF9HmQ7RbLKDZGAu9j9Zqd1rX7VpKyR3F7Qifrg7JXPmDvp4_taGhtMK=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJYwoRBUsiaDQRmaW_78LntJ4,餐廳,1080.0,中壢區,2025-05-12 23:02:36,2025-05-12 23:02:36
e7ccad6d-a6c8-4a91-994a-09fdd362e999,劉媽媽菜包店,"
星期一 24 小時營業
星期二 24 小時營業
星期三 24 小時營業
星期四 24 小時營業
星期五 24 小時營業
星期六 24 小時營業
星期日 24 小時營業",桃園市,桃園市中壢區中正路268號,3.8,POINT(24.95511 121.21908),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nolH6-FXHrjTfBjYzbKGznRuy0sjyFnslFsczok3Ai_2zwUbQK7S0ak9VR3mVDI_xMC2A5dJFkUbANlHYfmw44zT9MUnI-DGYrEuOzvtyfPklgbigQd7BX4V94Ro8djSTvRxknj=w408-h544-k-no,https://www.google.com/maps/place/?q=place_id:ChIJoeupBUsiaDQRqNJ0pxx7UAg,餐廳,3551.0,中壢區,2025-05-12 23:02:36,2025-05-12 23:02:36
addb57ed-09a2-4cac-a0a9-2ac0b7cbafa4,禪園人文花園餐廳,"
星期一 11:00–14:00 17:00–20:00
星期二 休息
星期三 11:00–14:00 17:00–21:00
星期四 11:00–14:00 17:00–21:00
星期五 11:00–14:00 17:00–21:00
星期六 11:00–14:00 17:00–21:00
星期日 11:00–14:00 17:00–21:00",桃園市,桃園市中壢區廣安街32號2樓,4.1,POINT(24.95846 121.22300),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrV_HebNneK4AV40DBne_jno9mMe5kfU2dvooKEzHwY0yIyn-JizkWi8vFqCk-sUR94gE6mlFOYz8iVx3Xcv6xuyNGUoHgo9wcUUAPAYdAXdBJUr744yZKDKsx5p3rwijfArqRO=w426-h240-k-no,https://www.google.com/maps/place/?q=place_id:ChIJjQ0EDTYiaDQRQSn6Q_tiPu0,餐廳,1282.0,中壢區,2025-05-12 23:02:36,2025-05-12 23:02:36
